name,title,coauthors,pub_year,citation
soobin Jeon (전수빈),콘텐츠 제공을 위한 디지털 사이니지 갤러리 시스템 설계 및 구현,", 이예지， 김보경， 이동욱， 전수빈， 서동만",2022,"한국정보과학회 학술발표논문집, 1817-1819, 2022"
soobin Jeon (전수빈),자율주행 이동체 분석을 위한 시각화 기능 구현,", 박성주， 김재훈， 서동만， 전수빈",2022,"한국정보과학회 학술발표논문집, 1814-1816, 2022"
soobin Jeon (전수빈),Web-Based Online Judge System for Online Programming Education,", Seokjin Kim and Junhong Park and Soobin Jeon and Dongmhan Seo",2022,"2022 IEEE International Conference on Consumer Electronics (ICCE), 1-3, 2022"
soobin Jeon (전수빈),콘텐츠 제공을 위한 디지털 사이니지 시스템 연구,", 김보경， 이동욱， 전수빈， 서동만",2021,"한국정보과학회 학술발표논문집, 1276-1278, 2021"
soobin Jeon (전수빈),딥러닝 탐지용 임베디드 장치 간 처리속도 비교,", 이재혁， 전민건， 한윤성， 김석진， 서동만， 전수빈",2020,"한국정보과학회 학술발표논문집, 1622-1624, 2020"
soobin Jeon (전수빈),게시판 크롤링을 통한 선호도 기반 게시물 푸시 서비스 구현,", 이다예， 박준홍， 이동욱， 전수빈",2020,"한국정보과학회 학술발표논문집, 1706-1708, 2020"
soobin Jeon (전수빈),Data exchange in cluster structure for longevity of iot,", Soobin Jeon",2020,"Future Internet 12 (2), 32, 2020"
soobin Jeon (전수빈),사물 인터넷 미들웨어에서 날씨 온톨로지 시스템,", 김유진， 전수빈， 정인범",2019,"정보과학회논문지 46 (1), 97-108, 2019"
soobin Jeon (전수빈),이기종 사물들의 효과적 동작을 위한 사물인터넷 미들웨어,", 전수빈， 한영탁， 이충산， 서동만， 정인범",2017,"정보과학회 컴퓨팅의 실제 논문지 23 (9), 517-534, 2017"
soobin Jeon (전수빈),대한민국 고속도로를 위한 교통 분석 및 시뮬레이션 시스템,", 한영탁， 전수빈， 신세정， 서동만， 정인범",2016,"정보과학회 컴퓨팅의 실제 논문지 22 (9), 426-440, 2016"
soobin Jeon (전수빈),사물인터넷에서 초음파 센서와 블루투스 통신을 이용한 스마트 주차 시스템,", 이충산， 한영탁， 전수빈， 서동만， 정인범",2016,"정보과학회 컴퓨팅의 실제 논문지 22 (6), 268-277, 2016"
soobin Jeon (전수빈),사물 인터넷을 위한 이기종 네트워크 통합 프레임워크,", 이충산， 한영탁， 전수빈， 정인범",2015,"한국정보과학회 학술발표논문집, 443-445, 2015"
soobin Jeon (전수빈),Analysis of Energy Consumption and Processing Delay of Wireless Sensor Networks according to the Characteristic of Applications,", Chong Myung Park and Young Tak Han and Soobin Jeon and Inbum Jung",2015,"Journal of KIISE 42 (3), 399-407, 2015"
soobin Jeon (전수빈),Vehicle Detection System on Multiple Drive Lanes with Ultrasonic Sensors in Wireless Sensor Networks,", Soobin Jeon and Inbum Jung and Eil Kwon",2015,"Transportation Research Board 94th Annual MeetingTransportation Research Board, 2015"
soobin Jeon (전수빈),대형차량을 고려한 교차로 신호제어,", 최형도， 조영태， 전수빈， 정인범",2013,"정보과학회논문지: 컴퓨팅의 실제 및 레터 19 (6), 322-330, 2013"
soobin Jeon (전수빈),소형 초음파 센서를 이용한 복수차로의 차량 검출,", 전수빈， 조영태， 정인범",2012,"정보과학회논문지: 컴퓨팅의 실제 및 레터 18 (1), 31-43, 2012"
soobin Jeon (전수빈),. NET Framework 를 이용한 영어 교육용 컨텐츠 설계 및 구현,", 전수빈， 김종우， 양효종， 정인범",2010,"한국정보과학회 학술발표논문집 37 (1B), 245-249, 2010"
soobin Jeon (전수빈),Design and Implementation of Object Detection and Re-simulation System based on LiDAR,", Hyewon Jo and Seongju Park and Junhong Park and Dongmahn Seo and Soobin Jeon",2023,"2023 IEEE International Conference on Consumer Electronics (ICCE), 1-4, 2023"
soobin Jeon (전수빈),3D LiDAR 기반 위치 추정 및 다익스트라 알고리즘 기반 경로 계획,", 박준홍， 조혜원， 서동만， 전수빈",2022,"한국정보과학회 학술발표논문집, 481-483, 2022"
soobin Jeon (전수빈),OCR 기반의 화장품 성분 검색 애플리케이션,", 권혁규， 김수종， 권태완， 김현수， 최선희， 서동만， 전수빈",2022,"한국정보과학회 학술발표논문집, 1343-1345, 2022"
soobin Jeon (전수빈),실시간 광고 제공을 위한 디지털 사이니지 데이터 동기화 시스템,", 박보은， 김경연， 이예지， 전수빈， 서동만",2022,"한국정보과학회 학술발표논문집, 1397-1399, 2022"
soobin Jeon (전수빈),라이다 기반의 데이터 보간을 위한 시각화 도구 개발,", 조준현， 권혁규， 전민건， 김수종， 전수빈， 서동만",2022,"한국정보과학회 학술발표논문집, 1406-1408, 2022"
soobin Jeon (전수빈),GPS 및 라이다 데이터 재현 도구 설계 및 구현,", 박성주， 박보은， 조혜원， 박준홍， 서동만， 전수빈",2022,"한국정보과학회 학술발표논문집, 1471-1473, 2022"
soobin Jeon (전수빈),지역 환경정보 제공 서비스를 위한 라즈베리파이 기반 모듈형 시스템 구현,", 김보경， 전민건， 김수종， 전수빈， 서동만",2022,"한국정보과학회 학술발표논문집, 1388-1390, 2022"
soobin Jeon (전수빈),스마트 쉘터 기반 사이니지 콘텐츠 관리 시스템 설계 및 구현,", 이예지， 김보경， 박보은， 전수빈， 서동만",2022,"한국정보과학회 학술발표논문집, 1391-1393, 2022"
soobin Jeon (전수빈),저해상도 3D LiDAR 에서 객체 탐지를 위한 포인트 클라우드 데이터 군집화 방법 연구,", 조혜원， 김재훈， 서동만， 전수빈",2022,"한국정보과학회 학술발표논문집, 1800-1802, 2022"
soobin Jeon (전수빈),지역 소통을 위한 디지털 사이니지 기반 커뮤니티 시스템 설계 및 구현,", 김보경， 이예지， 이동욱， 전수빈， 서동만",2022,"한국정보과학회 학술발표논문집, 1806-1808, 2022"
soobin Jeon (전수빈),Jetson TX2 에서의 포트홀 탐지 연구,", 권혁규， 김수종， 전민건， 전수빈， 서동만",2022,"한국정보과학회 학술발표논문집, 1803-1805, 2022"
soobin Jeon (전수빈),웹 크롤링을 활용한 텔레그램 공지사항 챗봇 구현,", 송희재， 김미혜， 전수빈， 서동만",2022,"한국정보과학회 학술발표논문집, 1716-1718, 2022"
soobin Jeon (전수빈),A* 알고리즘 기반 주행 중 장애물 회피를 위한 경로 계획 전환 알고리즘 제안,", 김재훈， 박준홍， 서동만， 전수빈",2022,"한국정보과학회 학술발표논문집, 320-322, 2022"
soobin Jeon (전수빈),부정행위 차단을 위한 온라인 저지 시스템 기능 설계 및 구현,", 김수정， 송희재， 박준홍， 김미혜， 전수빈， 서동만",2022,"한국정보과학회 학술발표논문집, 2132-2134, 2022"
soobin Jeon (전수빈),Improvement of Object Segmentation Accuracy in Aerial Images,", Sujong Kim and Yunsung Han and Soobin Jeon and Dongmhan Seo",2022,"2022 IEEE International Conference on Consumer Electronics (ICCE), 1-5, 2022"
soobin Jeon (전수빈),스크립트 기반의 드론 군집 비행 제어,", 조혜원， 김유진， 김수종， 한윤성， 전수빈， 서동만",2021,"한국정보과학회 학술발표논문집, 1252-1254, 2021"
soobin Jeon (전수빈),크롤링 기반 논문 이력 자동 관리 시스템,", 김수정， 김석진， 박준홍， 전수빈， 서동만",2021,"한국정보과학회 학술발표논문집, 1675-1677, 2021"
soobin Jeon (전수빈),웹 사이트 결과 기반 OCR 융합 방법 연구,", 김수종， 전민건， 서동만， 전수빈",2021,"한국정보과학회 학술발표논문집, 1499-1501, 2021"
soobin Jeon (전수빈),시각 장애인을 위한 인공지능 기반 전방 물체 탐지,", 김재훈， 김수종， 이다예， 전민건， 김재현， 전수빈， 서동만",2021,"한국정보과학회 학술발표논문집, 1978-1980, 2021"
soobin Jeon (전수빈),영상처리 기반 차선 검출 알고리즘 구현 및 RC 카 주행 연구,", 김재훈， 박준홍， 서동만， 전수빈",2021,"한국정보과학회 학술발표논문집, 1696-1698, 2021"
soobin Jeon (전수빈),인공지능을 활용한 항공 영상 내 경작지 작물 분류,", 김수종， 김석진， 전수빈， 서동만",2021,"한국정보과학회 학술발표논문집, 1693-1695, 2021"
soobin Jeon (전수빈),잘못된 어노테이션 제거기법을 활용한 딥러닝 학습용 이미지 데이터 셋 구축 시스템 연구,", 이동욱， 김석진， 박준홍， 전수빈， 서동만",2021,"한국정보과학회 학술발표논문집, 651-653, 2021"
soobin Jeon (전수빈),항공 영상 내 포트홀 탐지를 위한 합성곱 신경망 성능 비교 분석,", 한윤성， 전민건， 김석진， 전수빈， 서동만",2021,"한국정보과학회 학술발표논문집, 274-276, 2021"
soobin Jeon (전수빈),2 차원 LiDAR 데이터를 이용한 객체 추적 및 리시뮬레이션 방법 연구,", 박준홍， 김재훈， 김유리， 서동만， 전수빈",2021,"한국정보과학회 학술발표논문집, 298-300, 2021"
soobin Jeon (전수빈),라이다 및 이미지 센서를 이용한 실내 자율주행 이동체 구현,", 조혜원， 김재훈， 박준홍， 서동만， 전수빈",2021,"한국정보과학회 학술발표논문집, 1708-1710, 2021"
soobin Jeon (전수빈),레고 마인드스톰을 통한 로봇 춤 동작 구현,", 임찬아， 김영은， 전민건， 김미혜， 전수빈",2021,"한국정보과학회 학술발표논문집, 2098-2100, 2021"
soobin Jeon (전수빈),항공 영상 내 도로 영역 분할 방법 연구,", 장연수， 한윤성， 전수빈， 서동만",2021,"한국정보과학회 학술발표논문집, 1711-1713, 2021"
soobin Jeon (전수빈),터널 내부 영상 정합 알고리즘 개선 연구,", 김석진， 전민건， 전수빈， 서동만",2021,"한국정보과학회 학술발표논문집, 271-273, 2021"
soobin Jeon (전수빈),항공 영상 내 오브젝트의 정확한 면적 측정을 위한 외곽선 검출 방법,", 한윤성， 김수종， 김석진， 이동욱， 전수빈， 서동만",2021,"정보과학회 컴퓨팅의 실제 논문지 27 (6), 282-288, 2021"
soobin Jeon (전수빈),탐침 기반 토양 습도센서 데이터 수집 안정화를 위한 연구,", 김재훈， 김석진， 이동욱， 전수빈， 서동만",2020,"한국정보과학회 학술발표논문집, 1244-1246, 2020"
soobin Jeon (전수빈),자율주행을 위한 RC 카 기반 장애물 회피 알고리즘 구현,", 박준홍， 김재훈， 김유리， 한윤성， 서동만， 전수빈",2020,"한국정보과학회 학술발표논문집, 1247-1249, 2020"
